Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_21_det1_b30_s5_h4_w1500,2,276.168535055985,1274.88781758312,39.15146531702534,42.85145706937274
config_21_det1_b30_s5_h4_w1500,3,110.489999377789,954.913490984421,56.37431929776347,72.53923544177145
config_21_det1_b30_s5_h4_w1500,4,62.265165672113,754.396736282332,,80.01844904773392
config_21_det1_b30_s5_h4_w1500,5,41.3983921590561,615.089943611065,,85.0411806611017
config_21_det1_b30_s5_h4_w1500,6,30.5947542861908,517.737731419071,,111.03554763014529
config_21_det1_b30_s5_h4_w1500,7,24.0675826659041,446.310779861523,,114.78391550733588
config_21_det1_b30_s5_h4_w1500,8,19.5984247045618,391.790936353185,,146.95273126780066
config_21_det1_b30_s5_h4_w1500,9,14.813237392189,347.069530043393,,149.97271893480777
config_22_det1_b30_s5_h12_w50,1,1143.99309910078,724.976931135836,,15.587788764982559
config_22_det1_b30_s5_h12_w50,2,226.084029078955,415.578696008349,12.61472038796565,37.438027994130294
config_22_det1_b30_s5_h12_w50,3,95.9537592016972,309.044693901097,20.493249872881904,41.157483023093356
config_22_det1_b30_s5_h12_w50,4,55.3066653883184,243.601640148777,26.326909279523576,38.68932492911766
config_23_det1_b30_s5_h12_w500,1,1371.96964499226,1562.09876717853,20.142321694262893,46.909653145148035
config_23_det1_b30_s5_h12_w500,2,259.641330065364,879.048720659531,31.09080089029339,50.22870228776357
config_23_det1_b30_s5_h12_w500,3,105.27554977829,661.976402363107,55.137394366067255,62.53939634823632
config_23_det1_b30_s5_h12_w500,4,59.8243642194367,522.325202955406,,83.91279633311399
config_23_det1_b30_s5_h12_w500,5,40.4077641479295,425.720697172114,,87.77923168119636
config_24_det1_b30_s5_h12_w1500,1,1482.77218730659,2195.12941567296,23.14208828087906,44.53578110593715
config_24_det1_b30_s5_h12_w1500,2,276.168535055985,1274.88781758312,52.27757167199724,71.32849359130749
config_24_det1_b30_s5_h12_w1500,3,110.489999377789,954.913490984421,69.26508162342917,86.5224234884391
config_24_det1_b30_s5_h12_w1500,4,62.265165672113,754.396736282332,,110.30397065997354
config_24_det1_b30_s5_h12_w1500,5,41.3983921590561,615.089943611065,,115.91811593345325
config_24_det1_b30_s5_h12_w1500,6,30.5947542861908,517.737731419071,,134.00631865953548
config_25_det1_b30_s5_h24_w50,1,1143.99309910078,724.976931135836,,15.526123132392547
config_25_det1_b30_s5_h24_w50,2,226.084029078955,415.578696008349,14.808654564139173,27.536048398534216
config_25_det1_b30_s5_h24_w50,3,95.9537592016972,309.044693901097,20.51929405775264,
config_25_det1_b30_s5_h24_w50,4,55.3066653883184,243.601640148777,27.28528332051171,
config_26_det1_b30_s5_h24_w500,1,1371.96964499226,1562.09876717853,17.98580773011353,35.58228475908425
config_26_det1_b30_s5_h24_w500,2,259.641330065364,879.048720659531,31.28055502030584,66.47719772631586
config_26_det1_b30_s5_h24_w500,3,105.27554977829,661.976402363107,54.09898125455963,71.28884193262851
config_26_det1_b30_s5_h24_w500,4,59.8243642194367,522.325202955406,63.555737448316634,99.78613417963933
config_26_det1_b30_s5_h24_w500,5,40.4077641479295,425.720697172114,66.04831069292287,111.27309916737882
config_27_det1_b30_s5_h24_w1500,1,1482.77218730659,2195.12941567296,23.31275558149962,53.334400929965625
config_27_det1_b30_s5_h24_w1500,2,276.168535055985,1274.88781758312,53.52358216902445,61.916169358436925
config_27_det1_b30_s5_h24_w1500,3,110.489999377789,954.913490984421,64.04248761180902,107.72405892572624
config_27_det1_b30_s5_h24_w1500,4,62.265165672113,754.396736282332,,129.44528674001452
config_27_det1_b30_s5_h24_w1500,5,41.3983921590561,615.089943611065,,137.77983113569277
config_28_det1_b30_s20_h4_w50,1,1143.99309910078,724.976931135836,4.082920412019968,11.730476980913894
config_28_det1_b30_s20_h4_w50,2,226.084029078955,415.578696008349,11.838801704477158,16.679627248294317
config_28_det1_b30_s20_h4_w50,3,95.9537592016972,309.044693901097,17.052151483371446,18.07141926340396
config_28_det1_b30_s20_h4_w50,4,55.3066653883184,243.601640148777,19.506386123062537,20.895002636878903
config_28_det1_b30_s20_h4_w50,5,36.993922117345,199.162959091226,21.456011269904526,22.50603932816871
config_28_det1_b30_s20_h4_w50,6,27.0813487792226,167.515272305283,,26.03346336167916
config_28_det1_b30_s20_h4_w50,7,21.0130117246902,144.270449058323,,40.74908040118725
config_29_det1_b30_s20_h4_w500,1,1371.96964499226,1562.09876717853,13.187271333347622,17.511042584767935
config_29_det1_b30_s20_h4_w500,2,259.641330065364,879.048720659531,20.860796184642894,29.585527417885046
config_29_det1_b30_s20_h4_w500,3,105.27554977829,661.976402363107,38.360660553363964,41.915780411541874
config_29_det1_b30_s20_h4_w500,4,59.8243642194367,522.325202955406,51.053506697917584,48.79444883453591
config_29_det1_b30_s20_h4_w500,5,40.4077641479295,425.720697172114,51.82095154386905,53.04184365484664
config_29_det1_b30_s20_h4_w500,6,30.0937750463872,358.05135977561,,61.359826585538734
config_29_det1_b30_s20_h4_w500,7,23.5282591644182,308.420236242715,,87.73059590295142
config_29_det1_b30_s20_h4_w500,8,19.0428108742971,270.599644012954,,90.22478159333248
config_29_det1_b30_s20_h4_w500,9,15.852309192731,240.900973795346,,90.14352181627252
config_29_det1_b30_s20_h4_w500,10,13.4989773933766,217.007292249313,,93.77093617194262
config_30_det1_b30_s20_h4_w1500,1,1482.77218730659,2195.12941567296,17.35045750088189,22.133720774485134
config_30_det1_b30_s20_h4_w1500,2,276.168535055985,1274.88781758312,37.27745996920993,42.18860199824818
config_30_det1_b30_s20_h4_w1500,3,110.489999377789,954.913490984421,51.897033248574694,53.757243820461795
config_30_det1_b30_s20_h4_w1500,4,62.265165672113,754.396736282332,72.66146270377382,63.95277559778836
