ConfigName,Det,Height,BuildingSize,StreetWidth,AreaDensity,VolumeDensity,ChargeWeight,RadiusP,RadiusI,PressureAtR,ImpulseAtR
config_40_det2_b15_s5_h12_w50,2,12,15,5,0.5625,0.28125,50,22.728602574729493,53.82821350782918,2.716094410013473,31.992031094432004
config_41_det2_b15_s5_h12_w500,2,12,15,5,0.5625,0.28125,500,76.13240686461974,103.2350823901987,8.335968858754494,87.17384451627731
config_42_det2_b15_s5_h12_w1500,2,12,15,5,0.5625,0.28125,1500,99.83513938266204,163.80569027560264,24.106647491455078,380.84771728515625
config_43_det2_b15_s5_h24_w50,2,24,15,5,0.5625,0.5625,50,22.14774944673963,40.37094131646892,19.81891441345215,34.203612886071355
config_44_det2_b15_s5_h24_w500,2,24,15,5,0.5625,0.5625,500,83.71527945297018,123.9942414657498,1.2819063074945007,183.9430694580078
config_45_det2_b15_s5_h24_w1500,2,24,15,5,0.5625,0.5625,1500,121.12097648402793,166.12346061488927,20.00946044921875,269.5644226074219
config_46_det2_b15_s20_h4_w50,2,4,15,20,0.1836734693877551,0.030612244897959186,50,18.473450543956318,48.993294467485825,0.2444560587464366,0.5102271974086694
config_47_det2_b15_s20_h4_w500,2,4,15,20,0.1836734693877551,0.030612244897959186,500,67.93048192821836,105.48865980389655,0.4039280269120125,195.2012481689453
config_48_det2_b15_s20_h4_w1500,2,4,15,20,0.1836734693877551,0.030612244897959186,1500,92.5553385518331,163.40219211775857,4.272479142801766,5.133579432964325
config_49_det2_b15_s20_h12_w50,2,12,15,20,0.1836734693877551,0.09183673469387756,50,18.478592343574224,38.48696370201213,0.6741767622588668,123.47843170166016
config_50_det2_b15_s20_h12_w500,2,12,15,20,0.1836734693877551,0.09183673469387756,500,62.195214959745,99.99749628810157,29.133092880249023,111.30547653198244
config_51_det2_b15_s20_h12_w1500,2,12,15,20,0.1836734693877551,0.09183673469387756,1500,88.74914960468948,153.1180814310025,4.408069800989638,18.32856249809265
