ConfigName,R_convergence1,R_convergence2,R_convergence3
config_43_det2_b15_s5_h24_w50,57.50217387195027,56.816645888331,40.37094131646892
config_44_det2_b15_s5_h24_w500,165.1154898851104,150.62656496840992,123.9942414657498
config_45_det2_b15_s5_h24_w1500,193.3988753845275,182.7213598879528,166.12346061488927
config_46_det2_b15_s20_h4_w50,73.29192486215653,70.14942088142995,48.993294467485825
config_47_det2_b15_s20_h4_w500,128.90936738654798,126.74827414998596,105.48865980389655
config_48_det2_b15_s20_h4_w1500,220.03550849806038,205.4120858177532,163.40219211775857
config_49_det2_b15_s20_h12_w50,55.891557949300356,52.41990318571754,38.48696370201213
config_50_det2_b15_s20_h12_w500,123.36736298551574,123.01797124810668,99.99749628810157
config_51_det2_b15_s20_h12_w1500,200.24141679482793,192.44512204781913,153.1180814310025
config_52_det2_b15_s20_h24_w50,55.891557949300356,52.41990318571754,38.48696370201213
config_53_det2_b15_s20_h24_w500,100.16861409643242,99.52638469270347,78.7368003928983
config_54_det2_b15_s20_h24_w1500,150.4414337873712,144.89349536814964,119.82225997748128
config_55_det2_b30_s5_h4_w50,62.2965187630898,59.587676997849144,45.492417103171036
config_56_det2_b30_s5_h4_w500,123.23506501803777,121.94465957966344,90.06412676840627
config_57_det2_b30_s5_h4_w1500,216.674006285941,197.37179383083085,143.38921904693146
config_58_det2_b30_s5_h12_w50,72.59666831198247,70.87694441777242,51.996532603412874
config_59_det2_b30_s5_h12_w500,123.35623717510192,122.65857083791576,95.0860914732889
config_60_det2_b30_s5_h12_w1500,241.1298923816788,231.3595268633175,151.9746338483279
config_61_det2_b30_s5_h24_w50,70.87694441777242,67.4760790947429,46.01416101472338
config_62_det2_b30_s5_h24_w500,163.59439171316356,159.92693644286445,117.62104787314973
config_63_det2_b30_s5_h24_w1500,250.67334321782204,218.0241284626194,173.0948387284972
config_64_det2_b30_s20_h4_w50,67.24995353158246,66.0804906912774,40.8827760187588
config_65_det2_b30_s20_h4_w500,140.68448741776757,137.25204916503068,106.03330916640192
config_66_det2_b30_s20_h4_w1500,211.6438636010976,205.8776942750234,159.17409668521935
config_67_det2_b30_s20_h12_w50,62.77719530211588,61.30624968141502,37.223680298970976
config_68_det2_b30_s20_h12_w500,116.37278461908524,115.74811013575989,97.58119631875805
config_69_det2_b30_s20_h12_w1500,181.00172651110265,179.2208832697797,148.93590623710142
config_70_det2_b30_s20_h24_w50,62.77719530211588,61.30624968141502,37.223680298970976
config_71_det2_b30_s20_h24_w500,110.98479625606383,109.75711822018653,81.8209977973598
config_72_det2_b30_s20_h24_w1500,202.41078281554073,193.23851841700713,150.0992403193449
config_73_det1_b10_s8_h10_w250,108.2572457159335,100.65567894088949,82.79417216473901
config_74_det1_b10_s8_h10_w1000,158.17435000656712,142.68847195877657,124.11059584096758
config_75_det1_b10_s8_h15_w250,107.3269129808549,97.56279851301812,78.13443356378373
config_76_det1_b10_s8_h15_w1000,144.23461789736888,141.52588209319313,122.80487780983657
config_77_det1_b10_s12_h10_w250,105.21005774164368,82.95651962560174,57.77554100905406
config_78_det1_b10_s12_h10_w1000,153.33826984807152,127.32588492346537,107.02061237080558
config_79_det1_b10_s12_h15_w250,72.48407583738651,70.58046679569446,48.72710972571862
config_80_det1_b10_s12_h15_w1000,153.33826984807152,128.15058038232456,100.28872908036853
config_81_det2_b10_s8_h10_w250,109.90696633971842,102.37358892392572,85.35707840204779
config_82_det2_b10_s8_h10_w1000,149.55475585884923,138.20304799101075,119.80127944039477
config_83_det2_b10_s8_h15_w250,110.33811671403495,108.69572783693019,81.51268076195262
config_84_det2_b10_s8_h15_w1000,150.3100961346243,143.77560670753536,122.68516176240168
config_85_det2_b10_s12_h10_w250,122.97022505468549,110.38721053636603,87.91313176147868
config_86_det2_b10_s12_h10_w1000,172.7299192380984,166.89555116898714,130.04124943861297
config_87_det2_b10_s12_h15_w250,93.43838210285963,89.55144471196431,67.91244618788387
config_88_det2_b10_s12_h15_w1000,166.89555116898714,154.56617877922736,123.48525721720792
config_89_det1_b10_s5_h15_w250,118.7439472141633,113.06711005900932,90.6173664984318
config_90_det1_b10_s5_h15_w1000,148.48442679284585,140.1757208517057,120.36048083661939
config_91_det1_b10_s5_h24_w250,127.1779314582526,116.57996499218999,78.97461617507236
config_92_det1_b10_s5_h24_w1000,162.95743309220356,154.949579703924,127.4581541896965
config_93_det2_b10_s5_h15_w250,110.96335543772997,108.25534386726683,93.3747780750003
config_94_det2_b10_s5_h15_w1000,154.9842733957223,142.18166196806112,128.85440216901142
config_95_det2_b10_s5_h24_w250,133.4715559585637,124.93572029914671,87.46906667502518
config_96_det2_b10_s5_h24_w1000,171.18155566532278,167.95125781011586,143.9469024405257
