ConfigName,R_convergence1,R_convergence2,R_convergence3
config_29_det1_b30_s20_h4_w500,88.3425506197325,86.9414276775468,55.77492367642569
config_30_det1_b30_s20_h4_w1500,123.53740830210094,119.75497190260756,85.58718597300519
config_31_det1_b30_s20_h12_w50,42.19628241918949,41.26501687077446,30.696701098543684
config_32_det1_b30_s20_h12_w500,83.32665389897761,70.27302846612841,53.34157110859534
config_33_det1_b30_s20_h12_w1500,128.90936738654798,115.1144635957746,82.03827528118269
config_34_det1_b30_s20_h24_w50,42.19628241918949,41.26501687077446,30.696701098543684
config_35_det1_b30_s20_h24_w500,83.77664501518308,70.34640981472123,53.57300289221138
config_36_det1_b30_s20_h24_w1500,167.463802058833,105.85485486939254,82.44980990140473
config_37_det2_b15_s5_h4_w50,41.85739182032249,40.04480303360225,29.391603818097444
config_38_det2_b15_s5_h4_w500,110.20340852260424,82.01376953714245,60.016883851314894
config_39_det2_b15_s5_h4_w1500,123.4078451720149,113.03293565491342,89.7390989201474
config_40_det2_b15_s5_h12_w50,55.04989782006866,39.39528936274539,22.728602574729493
config_41_det2_b15_s5_h12_w500,93.26267340152758,90.38623374164895,76.13240686461974
config_42_det2_b15_s5_h12_w1500,141.42179817835722,114.03218686614154,99.83513938266204
config_43_det2_b15_s5_h24_w50,40.8756192613641,38.65709831324643,22.14774944673963
config_44_det2_b15_s5_h24_w500,136.85804689531412,127.88276369393961,83.71527945297018
config_45_det2_b15_s5_h24_w1500,165.1154898851104,151.6887450338475,121.12097648402793
config_46_det2_b15_s20_h4_w50,29.536100792081545,28.982430022342847,18.473450543956318
config_47_det2_b15_s20_h4_w500,121.33345066386268,117.81356564504786,67.93048192821836
config_48_det2_b15_s20_h4_w1500,141.42179817835722,127.278606793472,92.5553385518331
config_49_det2_b15_s20_h12_w50,29.68048601354095,28.982430022342847,18.478592343574224
config_50_det2_b15_s20_h12_w500,119.75379430314514,115.63341320742893,62.195214959745
config_51_det2_b15_s20_h12_w1500,141.42179817835722,121.43111625546925,88.74914960468948
config_52_det2_b15_s20_h24_w50,29.68048601354095,28.982430022342847,18.478592343574224
config_53_det2_b15_s20_h24_w500,80.72069901828154,66.11317001929343,54.0430639757674
config_54_det2_b15_s20_h24_w1500,91.23434797267967,90.14020329464539,81.25937680935317
config_55_det2_b30_s5_h4_w50,43.85344912318756,39.655217185132145,23.248598822772568
config_56_det2_b30_s5_h4_w500,96.09727493534872,74.8802215094745,53.775081615724005
config_57_det2_b30_s5_h4_w1500,121.55914198446779,118.0985446565706,82.23785548638776
config_58_det2_b30_s5_h12_w50,60.353055017952485,58.41464927567399,33.32031516624322
config_59_det2_b30_s5_h12_w500,105.12576396868657,102.1338643643723,78.99969453175822
config_60_det2_b30_s5_h12_w1500,123.94202273643916,120.09076255066415,95.32284827247756
config_61_det2_b30_s5_h24_w50,49.8764097545122,46.34939319991147,21.789207636911545
config_62_det2_b30_s5_h24_w500,126.01240018347401,124.18786172569362,69.63994952212735
config_63_det2_b30_s5_h24_w1500,163.59439171316356,159.92693644286445,123.26670294753387
config_64_det2_b30_s20_h4_w50,38.62565533424643,36.17100012440906,20.68176431061915
config_65_det2_b30_s20_h4_w500,107.73117584989036,102.44665075052478,69.08073085166369
config_66_det2_b30_s20_h4_w1500,139.0597892994233,135.48662295592138,94.12551895976162
config_67_det2_b30_s20_h12_w50,41.059606062406395,40.18446528199672,22.392909033888387
config_68_det2_b30_s20_h12_w500,93.69472370416595,90.80496269477786,66.317902413719
config_69_det2_b30_s20_h12_w1500,141.42179817835722,127.48423905689603,85.54272681596672
config_70_det2_b30_s20_h24_w50,41.059606062406395,40.18446528199672,22.392909033888387
config_71_det2_b30_s20_h24_w500,91.78976658647738,85.42714000831351,60.60100968630804
config_72_det2_b30_s20_h24_w1500,158.05260200325714,101.77487410947754,78.82260515444369
config_73_det1_b10_s8_h10_w250,86.3682884512597,80.0271375818835,50.767114793382184
