Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_12_det1_b15_s20_h4_w1500,2,276.168535055985,1274.88781758312,32.97109790215787,44.951597228722875
config_12_det1_b15_s20_h4_w1500,3,110.489999377789,954.913490984421,45.24990880991703,45.215856019080675
config_12_det1_b15_s20_h4_w1500,4,62.265165672113,754.396736282332,66.90175790232965,64.97694167447966
config_12_det1_b15_s20_h4_w1500,5,41.3983921590561,615.089943611065,,73.5245674941588
config_12_det1_b15_s20_h4_w1500,6,30.5947542861908,517.737731419071,,81.26948227008613
config_12_det1_b15_s20_h4_w1500,7,24.0675826659041,446.310779861523,,99.9763997023107
config_12_det1_b15_s20_h4_w1500,8,19.5984247045618,391.790936353185,,113.06787936258766
config_12_det1_b15_s20_h4_w1500,9,14.813237392189,347.069530043393,,120.72000155153908
config_12_det1_b15_s20_h4_w1500,10,12.2749345250106,314.281592480616,,141.19117214571267
config_12_det1_b15_s20_h4_w1500,11,10.3785968167878,286.18006793008,,144.61541866821855
config_13_det1_b15_s20_h12_w50,1,1143.99309910078,724.976931135836,3.74849969987994,11.2759164625353
config_13_det1_b15_s20_h12_w50,2,226.084029078955,415.578696008349,11.073265236896598,12.0713077719621
config_13_det1_b15_s20_h12_w50,3,95.9537592016972,309.044693901097,12.258921216904586,13.25910062108634
config_13_det1_b15_s20_h12_w50,4,55.3066653883184,243.601640148777,15.124293641248961,15.721754518943758
config_13_det1_b15_s20_h12_w50,5,36.993922117345,199.162959091226,18.879437309133483,32.97109790215787
config_13_det1_b15_s20_h12_w50,6,27.0813487792226,167.515272305283,,34.68671537063909
config_13_det1_b15_s20_h12_w50,7,21.0130117246902,144.270449058323,,35.46484539862658
config_14_det1_b15_s20_h12_w500,1,1371.96964499226,1562.09876717853,11.838801704477158,12.3436417883287
config_14_det1_b15_s20_h12_w500,2,259.641330065364,879.048720659531,16.88182437436579,32.97109790215787
config_14_det1_b15_s20_h12_w500,3,105.27554977829,661.976402363107,34.23131709011904,39.93356238025207
config_14_det1_b15_s20_h12_w500,4,59.8243642194367,522.325202955406,37.354065456104976,45.64625860059847
config_14_det1_b15_s20_h12_w500,5,40.4077641479295,425.720697172114,47.62137429889673,66.03285945659854
config_14_det1_b15_s20_h12_w500,6,30.0937750463872,358.05135977561,,73.57995845409663
config_14_det1_b15_s20_h12_w500,7,23.5282591644182,308.420236242715,,79.88925847630398
