Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_51_det2_b15_s20_h12_w1500,13,8.07100869684366,242.465429921281,230.3641139587501,217.50890786356314,True,True,p95
config_51_det2_b15_s20_h12_w1500,14,7.24897508045351,225.256267238797,245.66771257126973,222.77591378080538,True,True,p95
config_51_det2_b15_s20_h12_w1500,15,6.56841598047092,210.321763462317,260.8459794591437,244.60449083462896,True,True,p95
config_51_det2_b15_s20_h12_w1500,16,5.99684734319579,197.206183278909,270.99008284437275,267.715567347138,True,True,p95
config_51_det2_b15_s20_h12_w1500,17,5.50925993039002,185.62250063012,295.2924397948583,289.84845178127136,True,True,p95
config_51_det2_b15_s20_h12_w1500,18,5.08897006822918,175.317193184827,296.770323651136,293.4256438154033,True,True,p95
config_51_det2_b15_s20_h12_w1500,19,4.72308712345199,166.110522527026,309.41361080722265,316.4808446020075,True,True,p95
config_51_det2_b15_s20_h12_w1500,20,4.4019262322732,157.810856039111,319.00881649258537,338.48852728371,True,True,p95
config_52_det2_b15_s20_h24_w50,1,1143.99309910078,724.976931135836,4.486228928621454,1.0182265312012087,False,False,p95
config_52_det2_b15_s20_h24_w50,2,226.084029078955,415.578696008349,8.446078971925374,7.077870442442416,False,False,p95
config_52_det2_b15_s20_h24_w50,3,95.9537592016972,309.044693901097,16.725168160589597,20.166215559692898,False,False,p95
config_52_det2_b15_s20_h24_w50,4,55.3066653883184,243.601640148777,22.237721331107647,25.362201205731335,False,False,p95
config_52_det2_b15_s20_h24_w50,5,36.993922117345,199.162959091226,27.15062153984693,27.097532175458337,False,False,p95
config_52_det2_b15_s20_h24_w50,6,27.0813487792226,167.515272305283,29.221332105159064,32.93943305523032,True,False,p95
config_52_det2_b15_s20_h24_w50,7,21.0130117246902,144.270449058323,32.290265561001505,37.4419049996124,True,False,p95
config_52_det2_b15_s20_h24_w50,8,16.9791838231912,126.567457936793,46.367351121236155,41.340310231056556,True,False,p95
config_52_det2_b15_s20_h24_w50,9,14.1386261548201,112.67074195811,47.33932033732634,48.25863912295911,True,False,p95
config_52_det2_b15_s20_h24_w50,10,12.0436968582402,101.492859164877,48.25863912295911,49.94583315953394,True,False,p95
