Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_82_det2_b10_s8_h10_w1000,12,8.91555078125,228.986923217773,132.98296194124518,161.99392564057595,True,True,req
config_82_det2_b10_s8_h10_w1000,13,7.87199609375,211.807258605957,143.96175186486164,176.44931204802762,True,True,req
config_82_det2_b10_s8_h10_w1000,14,7.05954296875,196.793830871582,157.1859258260032,190.72619627215462,True,True,req
config_82_det2_b10_s8_h10_w1000,15,6.37659375,183.734001159668,166.5127747851998,201.92280909628147,True,True,req
config_82_det2_b10_s8_h10_w1000,16,5.808765625,172.296012878418,180.6895857233861,216.5286451411606,True,True,req
config_82_det2_b10_s8_h10_w1000,17,5.32770703125,162.19344329834,195.53585562073604,231.51930265098846,True,True,req
config_82_det2_b10_s8_h10_w1000,18,4.91498046875,153.208526611328,206.90267102620447,244.80406848017142,True,True,req
config_82_det2_b10_s8_h10_w1000,19,4.55701953125,145.16609954834,216.19056344397234,259.1770389135581,True,True,req
config_82_det2_b10_s8_h10_w1000,20,4.24378515625,137.92414855957,233.4018322074139,265.85907660095245,True,True,req
config_83_det2_b10_s8_h15_w250,1,1322.68273568211,1231.55614540992,6.719086619474405,10.46864431953292,False,False,req
config_83_det2_b10_s8_h15_w250,2,252.93209269631,694.862830042474,12.218128607387738,16.22308968380835,False,False,req
config_83_det2_b10_s8_h15_w250,3,104.998977908618,525.24000926827,17.94937015298556,24.43621259751828,False,False,req
config_83_det2_b10_s8_h15_w250,4,59.7200348642112,414.304889211797,25.19856284482201,30.026053270451644,False,False,req
config_83_det2_b10_s8_h15_w250,5,39.8568210825817,338.841406453851,30.983299937224245,40.85994829903728,False,False,req
config_83_det2_b10_s8_h15_w250,6,29.1032232969694,285.270286428345,36.84427872818248,53.77738953314859,False,False,req
config_83_det2_b10_s8_h15_w250,7,22.5780158271681,245.899008295199,42.24199776288995,64.06728982093749,True,False,req
config_83_det2_b10_s8_h15_w250,8,18.2704668808745,215.87945345554,47.94922183935835,73.36225102189817,True,False,req
config_83_det2_b10_s8_h15_w250,9,15.2425257500057,192.266813750414,59.26766297906473,83.85930702670991,True,True,req
config_83_det2_b10_s8_h15_w250,10,13.0104568662737,173.233610024881,67.02287575895262,92.37295532243189,True,True,req
config_83_det2_b10_s8_h15_w250,11,11.3050806069729,157.581691801359,78.84028078970799,98.7193211838493,True,True,req
config_83_det2_b10_s8_h15_w250,12,9.96424838716288,144.494696357211,86.78744940946241,105.14960433433245,True,True,req
config_83_det2_b10_s8_h15_w250,13,8.88536700979521,133.398136789257,95.34171896394568,115.01174909788807,True,True,req
config_83_det2_b10_s8_h15_w250,14,8.00069163608761,123.875447271731,100.20380668916725,121.46749976845658,True,True,req
config_83_det2_b10_s8_h15_w250,15,7.26352017039033,115.570070080883,103.78396010463275,130.1632715092856,True,True,req
config_83_det2_b10_s8_h15_w250,16,6.12354953275908,107.311001938117,109.16673237911507,139.17322180170532,True,True,req
config_83_det2_b10_s8_h15_w250,17,5.33231413765071,101.419455756059,114.49990107953029,144.5670385630448,True,True,req
config_83_det2_b10_s8_h15_w250,18,4.76253492535128,96.2835680439318,120.99702257585606,154.36012636400346,True,True,req
config_83_det2_b10_s8_h15_w250,19,4.30879220439916,91.0479780688807,125.06721093076314,162.6588240937317,True,True,req
config_83_det2_b10_s8_h15_w250,20,3.94463241538417,86.7228654737704,136.38385596054493,169.22300785912324,True,True,req
config_84_det2_b10_s8_h15_w1000,1,1437.86820833333,1946.65627034505,10.497030003238482,14.501522908531594,False,False,req
config_84_det2_b10_s8_h15_w1000,2,270.273583333333,1110.42730712891,20.068993151404257,26.123841016290932,False,False,req
config_84_det2_b10_s8_h15_w1000,3,108.843,838.393432617188,31.74824207731824,40.69319165686346,False,False,req
config_84_det2_b10_s8_h15_w1000,4,61.6362135416667,660.314829508464,43.24056399955949,57.194720400284034,False,False,req
config_84_det2_b10_s8_h15_w1000,5,41.4805494791667,537.798126220703,62.02961288771679,72.74424289935251,False,False,req
config_84_det2_b10_s8_h15_w1000,6,30.7686484375,452.795272827148,78.6809085801632,88.0691965161486,False,False,req
config_84_det2_b10_s8_h15_w1000,7,24.04661328125,390.392094930013,92.52740877707535,99.2655397154521,True,False,req
config_84_det2_b10_s8_h15_w1000,8,19.4677135416667,342.550003051758,101.87077537252772,113.262937205621,True,False,req
config_84_det2_b10_s8_h15_w1000,9,16.21081640625,304.876281738281,107.44507931703734,125.97590830084228,True,True,req
config_84_det2_b10_s8_h15_w1000,10,12.85248046875,271.698257446289,114.04687675347458,141.88731865267047,True,True,req
config_84_det2_b10_s8_h15_w1000,11,10.4575859375,248.922744750977,124.72925634705312,157.27397803408758,True,True,req
config_84_det2_b10_s8_h15_w1000,12,8.91555078125,228.986923217773,134.36304747875351,169.7821275439006,True,True,req
config_84_det2_b10_s8_h15_w1000,13,7.87199609375,211.807258605957,144.4921004184427,181.81615791171527,True,True,req
config_84_det2_b10_s8_h15_w1000,14,7.05954296875,196.793830871582,157.18755163462814,196.73234425934587,True,True,req
config_84_det2_b10_s8_h15_w1000,15,6.37659375,183.734001159668,169.9593374571956,208.46594112974697,True,True,req
config_84_det2_b10_s8_h15_w1000,16,5.808765625,172.296012878418,178.7954099274115,221.44432144446603,True,True,req
config_84_det2_b10_s8_h15_w1000,17,5.32770703125,162.19344329834,192.04126798975034,235.52686506355633,True,True,req
config_84_det2_b10_s8_h15_w1000,18,4.91498046875,153.208526611328,200.41404017682993,245.69649016169885,True,True,req
config_84_det2_b10_s8_h15_w1000,19,4.55701953125,145.16609954834,216.66013772214254,258.8559310805058,True,True,req
config_84_det2_b10_s8_h15_w1000,20,4.24378515625,137.92414855957,226.42571445546258,266.7167531087781,True,True,req
config_85_det2_b10_s12_h10_w250,1,1322.68273568211,1231.55614540992,6.992147381169821,8.509178867552379,False,False,req
config_85_det2_b10_s12_h10_w250,2,252.93209269631,694.862830042474,13.07277227675905,15.889631052985466,False,False,req
config_85_det2_b10_s12_h10_w250,3,104.998977908618,525.24000926827,17.54284398266142,21.75994568263237,False,False,req
config_85_det2_b10_s12_h10_w250,4,59.7200348642112,414.304889211797,24.020041111538507,32.27218423038639,False,False,req
config_85_det2_b10_s12_h10_w250,5,39.8568210825817,338.841406453851,30.594613496496404,35.989045208229676,False,False,req
config_85_det2_b10_s12_h10_w250,6,29.1032232969694,285.270286428345,37.59856878925047,47.78016659079837,False,False,req
config_85_det2_b10_s12_h10_w250,7,22.5780158271681,245.899008295199,47.591920270146694,56.879573442493395,True,False,req
config_85_det2_b10_s12_h10_w250,8,18.2704668808745,215.87945345554,56.635915062793856,62.7385358053565,True,False,req
config_85_det2_b10_s12_h10_w250,9,15.2425257500057,192.266813750414,65.52343760060212,71.70914777767199,True,False,req
config_85_det2_b10_s12_h10_w250,10,13.0104568662737,173.233610024881,76.9561457909633,80.41462907608566,True,False,req
config_85_det2_b10_s12_h10_w250,11,11.3050806069729,157.581691801359,86.351226829733,87.66906167514284,True,False,req
config_85_det2_b10_s12_h10_w250,12,9.96424838716288,144.494696357211,92.40118167534439,94.99818090363624,True,True,req
config_85_det2_b10_s12_h10_w250,13,8.88536700979521,133.398136789257,98.47335870680962,103.2593543650593,True,True,req
config_85_det2_b10_s12_h10_w250,14,8.00069163608761,123.875447271731,101.3095930935357,108.33701461694017,True,True,req
config_85_det2_b10_s12_h10_w250,15,7.26352017039033,115.570070080883,106.83102045078272,115.1917928451888,True,True,req
config_85_det2_b10_s12_h10_w250,16,6.12354953275908,107.311001938117,110.75158394904436,123.98230496504104,True,True,req
config_85_det2_b10_s12_h10_w250,17,5.33231413765071,101.419455756059,119.33296863305537,130.35161945462912,True,True,req
config_85_det2_b10_s12_h10_w250,18,4.76253492535128,96.2835680439318,126.63402545436901,136.42679365790937,True,True,req
config_85_det2_b10_s12_h10_w250,19,4.30879220439916,91.0479780688807,133.16149421535744,144.72189374029688,True,True,req
config_85_det2_b10_s12_h10_w250,20,3.94463241538417,86.7228654737704,142.76338388318547,151.30792279322324,True,True,req
config_86_det2_b10_s12_h10_w1000,1,1437.86820833333,1946.65627034505,10.902723283657162,14.613629958212146,False,False,req
config_86_det2_b10_s12_h10_w1000,2,270.273583333333,1110.42730712891,19.774361557329733,28.504489168862115,False,False,req
config_86_det2_b10_s12_h10_w1000,3,108.843,838.393432617188,30.33137608154302,37.188509089950536,False,False,req
config_86_det2_b10_s12_h10_w1000,4,61.6362135416667,660.314829508464,49.24299823325139,53.36258872093819,False,False,req
