ConfigName,Det,Height,BuildingSize,StreetWidth,AreaDensity,VolumeDensity,ChargeWeight,RadiusP,RadiusI,PressureAtR,ImpulseAtR,RadiusEstimator
config_42_det2_b15_s5_h12_w1500,2,12,15,5,0.5625,0.28125,1500,114.03218686614154,240.66713630649053,24.16852378845215,260.8094024658203,p95
config_43_det2_b15_s5_h24_w50,2,24,15,5,0.5625,0.5625,50,38.65709831324643,56.816645888331,20.550647735595703,76.43775939941406,p95
config_44_det2_b15_s5_h24_w500,2,24,15,5,0.5625,0.5625,500,127.88276369393961,150.62656496840992,15.186234474182129,269.6075134277344,p95
config_45_det2_b15_s5_h24_w1500,2,24,15,5,0.5625,0.5625,1500,151.6887450338475,182.7213598879528,9.500968933105469,365.21246337890625,p95
config_46_det2_b15_s20_h4_w50,2,4,15,20,0.1836734693877551,0.030612244897959186,50,28.982430022342847,70.14942088142995,27.712383270263672,0.7457166731357596,p95
config_47_det2_b15_s20_h4_w500,2,4,15,20,0.1836734693877551,0.030612244897959186,500,117.81356564504786,126.74827414998596,2.344695422308375,1.6297050565481186,p95
config_48_det2_b15_s20_h4_w1500,2,4,15,20,0.1836734693877551,0.030612244897959186,1500,127.278606793472,205.4120858177532,0.19679833427653648,1.4367073774337769,p95
config_49_det2_b15_s20_h12_w50,2,12,15,20,0.1836734693877551,0.09183673469387756,50,28.982430022342847,52.41990318571754,27.85489845275879,97.56521606445312,p95
config_50_det2_b15_s20_h12_w500,2,12,15,20,0.1836734693877551,0.09183673469387756,500,115.63341320742893,123.01797124810668,2.3840760585235867,175.50391426086424,p95
config_51_det2_b15_s20_h12_w1500,2,12,15,20,0.1836734693877551,0.09183673469387756,1500,121.43111625546925,192.44512204781913,23.307374954223633,1.4182062149047852,p95
config_52_det2_b15_s20_h24_w50,2,24,15,20,0.1836734693877551,0.1836734693877551,50,28.982430022342847,52.41990318571754,27.854921340942383,97.71002960205078,p95
config_53_det2_b15_s20_h24_w500,2,24,15,20,0.1836734693877551,0.1836734693877551,500,66.11317001929343,99.52638469270347,0.5122890446160163,181.83250743865972,p95
config_54_det2_b15_s20_h24_w1500,2,24,15,20,0.1836734693877551,0.1836734693877551,1500,90.14020329464539,144.89349536814964,10.662757873535156,344.28851318359375,p95
config_55_det2_b30_s5_h4_w50,2,4,30,5,0.7346938775510204,0.12244897959183675,50,39.655217185132145,59.587676997849144,1.2391884482454338,0.7610625118017219,p95
config_56_det2_b30_s5_h4_w500,2,4,30,5,0.7346938775510204,0.12244897959183675,500,74.8802215094745,121.94465957966344,1.2280265829536832,0.7138957381248474,p95
config_57_det2_b30_s5_h4_w1500,2,4,30,5,0.7346938775510204,0.12244897959183675,1500,118.0985446565706,197.37179383083085,23.118022918701172,1.454624354839325,p95
config_58_det2_b30_s5_h12_w50,2,12,30,5,0.7346938775510204,0.3673469387755102,50,58.41464927567399,70.87694441777242,16.539703369140625,63.176841735839844,p95
config_59_det2_b30_s5_h12_w500,2,12,30,5,0.7346938775510204,0.3673469387755102,500,102.1338643643723,122.65857083791576,18.978015899658203,275.3466491699219,p95
config_60_det2_b30_s5_h12_w1500,2,12,30,5,0.7346938775510204,0.3673469387755102,1500,120.09076255066415,231.3595268633175,22.193866729736328,68.95480331778526,p95
config_61_det2_b30_s5_h24_w50,2,24,30,5,0.7346938775510204,0.7346938775510204,50,46.34939319991147,67.4760790947429,1.0310994692204987,0.4867490231990814,p95
